Ignition-Event Count,Time Cue Number,Ignition Seconds,Number Of Devices,Unused1,Unused2,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Item Name,Caliber,Category,Angles,Position Name,Position Distance (m),Module Type,Module Address,Slat Address,Pin Address,Unused4,Notes,Product ID,Mfg And Mfg ID,Unique ID,Location Primary,Location Secondary,Ignition Time*,Device Ignition Time*,Effect Time*,Mortar Caliber,Track Identifier
44,44,786,12,,Mammoth Sun Ring,,,0,0,Mammoth Sun Ring,"1.5""",Cake,|,Pos-01,102.44,Default,1,,9,,,,,http://www.finalefireworks.com/api/fireworks/1000143,,,12:13:06 AM,12:13:08 AM,12:13:08 AM,,
45,45,816,13,,Willow Explosion,,,0,0,Willow Explosion,"1.5""",Cake,|,Pos-02,103.44,Default,2,,4,,,,,http://www.finalefireworks.com/api/fireworks/1000144,,,12:13:36 AM,12:13:38 AM,12:13:38 AM,,
46,46,836,14,,Flower Power,,,0,0,Flower Power,"1.5""",Cake,|,Pos-02,104.44,Default,2,,5,,,,,http://www.finalefireworks.com/api/fireworks/1000145,,,12:13:56 AM,12:13:58 AM,12:13:58 AM,,
47,47,864,15,,Rocket (9),,,0,0,Rocket (9),"1.5""",Rocket,|,Pos-01,105.44,Default,1,,10,,,,,http://www.finalefireworks.com/api/fireworks/1000146,,,12:14:24 AM,12:14:28 AM,12:14:28 AM,,
48,48,866,16,,Mammoth Brocade,,,0,0,Mammoth Brocade,"1.5""",Cake,|,Pos-02,106.44,Default,2,,6,,,,,http://www.finalefireworks.com/api/fireworks/1000147,,,12:14:26 AM,12:14:28 AM,12:14:28 AM,,
49,49,902,17,,Master 3x9 Two,,,0,0,Master 3x9 Two,"1.5""",Cake,|,Pos-02,107.44,Default,2,,7,,,,,http://www.finalefireworks.com/api/fireworks/1000148,,,12:15:02 AM,12:15:04 AM,12:15:04 AM,,
50,50,921,18,,Rocket (10),,,0,0,Rocket (10),"1.5""",Rocket,|,Pos-01,108.44,Default,1,,11,,,,,http://www.finalefireworks.com/api/fireworks/1000149,,,12:15:21 AM,12:15:25 AM,12:15:25 AM,,
51,51,923,19,,Uncle Sam,,,0,0,Uncle Sam,"1.5""",Cake,|,Pos-02,109.44,Default,2,,8,,,,,http://www.finalefireworks.com/api/fireworks/1000150,,,12:15:23 AM,12:15:25 AM,12:15:25 AM,,
52,52,948,20,,Raikeo - JLP2301,,,0,0,Raikeo - JLP2301,"1.5""",Cake,|,Pos-02,110.44,Default,2,,9,,,,,http://www.finalefireworks.com/api/fireworks/1000151,,,12:15:48 AM,12:15:50 AM,12:15:50 AM,,
53,53,963,21,,Mammoth Crackle,,,0,0,Mammoth Crackle,"1.5""",Cake,|,Pos-02,111.44,Default,2,,10,,,,,http://www.finalefireworks.com/api/fireworks/1000152,,,12:16:03 AM,12:16:05 AM,12:16:05 AM,,
